iter	Passed	Remaining
770	5242	1556
771	5249	1550
772	5256	1543
773	5261	1536
774	5268	1529
775	5274	1522
776	5283	1516
777	5289	1509
778	5296	1502
779	5302	1495
780	5308	1488
781	5316	1481
782	5323	1475
783	5328	1468
784	5334	1461
785	5340	1454
786	5346	1447
787	5352	1440
788	5358	1432
789	5363	1425
790	5369	1418
791	5375	1411
792	5382	1404
793	5388	1397
794	5393	1390
795	5399	1383
796	5405	1376
797	5415	1370
798	5423	1364
799	5429	1357
800	5436	1350
801	5442	1343
802	5450	1337
803	5456	1330
804	5461	1323
805	5467	1316
806	5474	1309
807	5483	1303
808	5489	1296
809	5496	1289
810	5502	1282
811	5508	1275
812	5517	1269
813	5524	1262
814	5530	1255
815	5537	1248
816	5543	1241
817	5553	1235
818	5562	1229
819	5568	1222
820	5576	1215
821	5583	1209
822	5589	1202
823	5596	1195
824	5604	1188
825	5611	1181
826	5618	1175
827	5624	1168
828	5631	1161
829	5640	1155
830	5647	1148
831	5654	1141
832	5660	1134
833	5666	1127
834	5672	1120
835	5680	1114
836	5686	1107
837	5693	1100
838	5700	1093
839	5706	1086
840	5713	1080
841	5721	1073
842	5727	1066
843	5734	1059
844	5748	1054
845	5756	1047
846	5762	1041
847	5769	1034
848	5777	1027
849	5784	1020
850	5790	1013
851	5798	1007
852	5804	1000
853	5812	993
854	5818	986
855	5823	979
856	5828	972
857	5836	965
858	5844	959
859	5850	952
860	5857	945
861	5864	938
862	5870	931
863	5878	925
864	5884	918
865	5890	911
866	5896	904
867	5902	897
868	5908	890
869	5915	883
870	5921	877
871	5927	870
872	5934	863
873	5941	856
874	5948	849
875	5956	843
876	5962	836
877	5968	829
878	5976	822
879	5982	815
880	5988	808
881	5997	802
882	6002	795
883	6010	788
884	6016	781
885	6022	774
886	6028	767
887	6036	761
888	6044	754
889	6049	747
890	6056	740
891	6063	734
892	6071	727
893	6078	720
894	6084	713
895	6091	706
896	6097	700
897	6103	693
898	6110	686
899	6117	679
900	6123	672
901	6130	666
902	6136	659
903	6144	652
904	6149	645
905	6158	638
906	6164	632
907	6171	625
908	6177	618
909	6183	611
910	6190	604
911	6197	597
912	6203	591
913	6210	584
914	6216	577
915	6222	570
916	6229	563
917	6237	557
918	6244	550
919	6250	543
920	6257	536
921	6264	529
922	6272	523
923	6278	516
924	6284	509
925	6290	502
926	6296	495
927	6304	489
928	6312	482
929	6318	475
930	6324	468
931	6330	461
932	6337	455
933	6344	448
934	6353	441
935	6359	434
936	6365	427
937	6372	421
938	6379	414
939	6385	407
940	6392	400
941	6398	393
942	6406	387
943	6412	380
944	6418	373
945	6424	366
946	6432	359
947	6440	353
948	6447	346
949	6462	340
950	6473	333
951	6481	326
952	6489	320
953	6496	313
954	6504	306
955	6510	299
956	6518	292
957	6524	286
958	6532	279
959	6537	272
960	6543	265
961	6552	258
962	6558	251
963	6566	245
964	6572	238
965	6580	231
966	6586	224
967	6592	217
968	6598	211
969	6605	204
970	6612	197
971	6620	190
972	6629	183
973	6635	177
974	6641	170
975	6651	163
976	6657	156
977	6664	149
978	6669	143
979	6675	136
980	6683	129
981	6689	122
982	6695	115
983	6701	108
984	6708	102
985	6714	95
986	6721	88
987	6729	81
988	6736	74
989	6741	68
990	6749	61
991	6755	54
992	6761	47
993	6769	40
994	6775	34
995	6781	27
996	6788	20
997	6794	13
998	6800	6
999	6807	0
