iter	MultiClass
0	1.030164053
1	0.9767044585
2	0.9327783446
3	0.8960366169
4	0.8666920657
5	0.8423598149
6	0.8200998643
7	0.8020748933
8	0.7863088335
9	0.7723316406
10	0.760458437
11	0.7495793977
12	0.740194335
13	0.7316936452
14	0.723638188
15	0.7168986615
16	0.7109209547
17	0.7056451543
18	0.7004623787
19	0.695632588
20	0.6921772619
21	0.6884169915
22	0.6852460314
23	0.6822452204
24	0.6793636893
25	0.6773437583
26	0.6751300149
27	0.6729642875
28	0.6716871674
29	0.670025388
30	0.6679337327
31	0.6668433923
32	0.6657149144
33	0.6641827301
34	0.6633884385
35	0.6620759403
36	0.6613437482
37	0.6596564148
38	0.6587949661
39	0.6579273851
40	0.657425904
41	0.6565934956
42	0.6559904272
43	0.6553664771
44	0.6548915219
45	0.6540272115
46	0.6533785503
47	0.652648948
48	0.6520141724
49	0.6514723597
50	0.651034401
51	0.6499310531
52	0.6495398222
53	0.6489518916
54	0.6486244923
55	0.648079214
56	0.6476032599
57	0.6472771826
58	0.6463007306
59	0.6452826631
60	0.6448787785
61	0.6445609686
62	0.6442518465
63	0.6438673205
64	0.6434998144
65	0.6430998068
66	0.6428735612
67	0.642537826
68	0.6422289066
69	0.6419141864
70	0.641703677
71	0.6412436675
72	0.6409516288
73	0.6406587049
74	0.6402900083
75	0.6401110381
76	0.6391909239
77	0.6389645729
78	0.6386391336
79	0.6383042671
80	0.6379192696
81	0.6375631893
82	0.6368386208
83	0.6360093207
84	0.6356857134
85	0.635492527
86	0.6351881258
87	0.6349167545
88	0.634244003
89	0.6337116976
90	0.6334955616
91	0.6332400545
92	0.6330562639
93	0.6328267105
94	0.6323045193
95	0.6320644508
96	0.6316626056
97	0.6313043837
98	0.631086568
99	0.630717888
100	0.6303427656
101	0.6301661995
102	0.6298528971
103	0.6295343521
104	0.6293127669
105	0.6288704183
106	0.6282493701
107	0.6280780783
108	0.6277774189
109	0.6275577078
110	0.6271442331
111	0.6267729716
112	0.6265168299
113	0.6263576397
114	0.6261918209
115	0.6257936754
116	0.6253485222
117	0.6249918759
118	0.6247420798
119	0.6242727904
120	0.6240221484
121	0.6236871158
122	0.6234984492
123	0.6232283864
124	0.6228886485
125	0.6224892133
126	0.6221840902
127	0.6219819059
128	0.6216535029
129	0.621406116
130	0.6210999946
131	0.6207947647
132	0.6204235226
133	0.620152333
134	0.6197115307
135	0.6194553019
136	0.6192581439
137	0.6190162293
138	0.6184971075
139	0.6181708273
140	0.6178757708
141	0.6175239263
142	0.6173648641
143	0.617218781
144	0.6169177913
145	0.616659905
146	0.6163345931
147	0.6162007833
148	0.6159592148
149	0.6158211378
150	0.615530155
151	0.6152506465
152	0.6148555063
153	0.6145222186
154	0.6142318799
155	0.6140958517
156	0.6138424054
157	0.6135818784
158	0.6134370272
159	0.6130836101
160	0.6127652433
161	0.6125137276
162	0.6123091595
163	0.6121513457
164	0.6120386616
165	0.6118359133
166	0.6116030581
167	0.6112290642
168	0.6110135315
169	0.6108381264
170	0.6106689656
171	0.6104701386
172	0.6101676798
173	0.6096891642
174	0.6093414504
175	0.6091739622
176	0.608884475
177	0.6086888997
178	0.6084195984
179	0.6081065244
180	0.6078218445
181	0.6076256081
182	0.6072542544
183	0.6070300532
184	0.606665851
185	0.6062382333
186	0.6058498339
187	0.6056601266
188	0.6053829756
189	0.6052463321
190	0.604841476
191	0.6045494834
192	0.604160822
193	0.6039621877
194	0.603778616
195	0.603406701
196	0.6032454375
197	0.6030582897
198	0.6027470678
199	0.6025288116
200	0.6022846937
201	0.6019831426
202	0.6018017211
203	0.6015759024
204	0.6014769021
205	0.6013101947
206	0.60112422
207	0.601008884
208	0.6008706357
209	0.6006026211
210	0.6002577871
211	0.5999809514
212	0.599707437
213	0.5995242191
214	0.5992549467
215	0.5990773193
216	0.598882724
217	0.5986283214
218	0.5984902344
219	0.5983493314
220	0.5982203919
221	0.5979630035
222	0.5976696269
223	0.5975660118
224	0.597411038
225	0.5971848977
226	0.5970561272
227	0.5968617521
228	0.5966597268
229	0.5965107368
230	0.5962872618
231	0.5961170905
232	0.595908249
233	0.5957923393
234	0.5954486019
235	0.5952181334
236	0.5950237226
237	0.5947984809
238	0.5946078068
239	0.5943297349
240	0.5942067544
241	0.5939968343
242	0.5936945791
243	0.5935515056
244	0.5931882221
245	0.5930898166
246	0.5929097398
247	0.5925767458
248	0.5921722821
249	0.591973385
250	0.5918769321
251	0.5915642066
252	0.5913793253
253	0.5912185475
254	0.5910287958
255	0.5908749033
256	0.5907778364
257	0.5906710213
258	0.5904589878
259	0.5902992854
260	0.5899861669
261	0.5898274301
262	0.5896036903
263	0.5894323289
264	0.5893511062
265	0.5892195855
266	0.5890206976
267	0.5887857126
268	0.5885583397
269	0.5883303137
270	0.5879605631
271	0.5878412811
272	0.5877355777
273	0.587553798
274	0.5873177748
275	0.587176112
276	0.586851319
277	0.5866658811
278	0.586342824
279	0.586135481
280	0.5858741546
281	0.5856345899
282	0.5855292186
283	0.5853330703
284	0.5850208358
285	0.5847191415
286	0.5845217876
287	0.5843464121
288	0.5841034624
289	0.5839016109
290	0.5836591083
291	0.5834570281
292	0.5831083915
293	0.5828203889
294	0.5826321613
295	0.5823953637
296	0.5822041688
297	0.5820271726
298	0.5818685848
299	0.5817065902
300	0.5815238715
301	0.581408763
302	0.581216272
303	0.5808838819
304	0.5806941906
305	0.580414869
306	0.5800435618
307	0.5797171654
308	0.5794504529
309	0.5792439023
310	0.5791255219
311	0.5788738962
312	0.5787491257
313	0.5786308273
314	0.5785249818
315	0.5783727194
316	0.5782661043
317	0.5781042626
318	0.5778073369
319	0.5776367481
320	0.5775049087
321	0.5772160507
322	0.5770540002
323	0.5768873782
324	0.5767491928
325	0.5765832834
326	0.5763227695
327	0.5761662377
328	0.5760614427
329	0.5759336712
330	0.5758092599
331	0.5757050405
332	0.5755741021
333	0.5753318266
334	0.5748594801
335	0.5747226593
336	0.5745755236
337	0.5743614456
338	0.5742446684
339	0.5741300337
340	0.5739912179
341	0.5738000875
342	0.5736103022
343	0.5734614034
344	0.5732529244
345	0.5730726123
346	0.5728617119
347	0.5727686305
348	0.5726135291
349	0.5723412961
350	0.572208295
351	0.5721328484
352	0.5719925637
353	0.5718274248
354	0.5717254947
355	0.5715318322
356	0.5713385829
357	0.5712646492
358	0.5711384122
359	0.5708871524
360	0.5706852209
361	0.5704941864
362	0.5704062633
363	0.5702649432
364	0.5700930914
365	0.5699032795
366	0.5697999811
367	0.5696903947
368	0.5695627543
369	0.5694336443
370	0.5693151807
371	0.5692371408
372	0.5689375634
373	0.5687910811
374	0.5687333698
375	0.5684464281
376	0.5682846464
377	0.568096685
378	0.5679336404
379	0.5677714143
380	0.567694567
381	0.5675272899
382	0.5674640029
383	0.5674093696
384	0.5671956567
385	0.5670458362
386	0.5668535221
387	0.5667326816
388	0.566516826
389	0.5663186401
390	0.5661125438
391	0.5659511057
392	0.565772555
393	0.5656383325
394	0.5654879185
395	0.565351924
396	0.5652426232
397	0.5649299273
398	0.5648113656
399	0.5646571953
400	0.5645687979
401	0.5642345912
402	0.5640814147
403	0.5640202805
404	0.5638905563
405	0.5637558899
406	0.563690824
407	0.5634537151
408	0.5633253492
409	0.5631261426
410	0.5629928063
411	0.5627447086
412	0.5626032683
413	0.5624073385
414	0.5623116893
415	0.5619638488
416	0.561859458
417	0.5617631971
418	0.5616109608
419	0.5615109516
420	0.5613571721
421	0.5611135081
422	0.560981047
423	0.5608077499
424	0.5606627729
425	0.5604116864
426	0.5602334818
427	0.5600639154
428	0.5598827139
429	0.5597241924
430	0.5595273438
431	0.5594769049
432	0.5592745541
433	0.5590738999
434	0.5588800512
435	0.5585349584
436	0.5583951993
437	0.5581674366
438	0.5580690074
439	0.5579215652
440	0.5577445635
441	0.5576315325
442	0.5575153496
443	0.5573709116
444	0.5573025523
445	0.5571628373
446	0.5568693322
447	0.5567511028
448	0.5566234301
449	0.5565439978
450	0.5563226787
451	0.5560884271
452	0.5559528991
453	0.5557819984
454	0.555678573
455	0.5553917209
456	0.555294707
457	0.5551645662
458	0.5550334576
459	0.5549431387
460	0.5547637887
461	0.5546977368
462	0.5545427143
463	0.5543413553
464	0.5541340284
465	0.554028094
466	0.5538674801
467	0.5536041647
468	0.5535365686
469	0.5534197553
470	0.5532857608
471	0.5531355014
472	0.5529084933
473	0.5528106461
474	0.5527034438
475	0.5525087486
476	0.5523248527
477	0.5521916513
478	0.5519594275
479	0.551671622
480	0.5515216765
481	0.5513275504
482	0.5511317861
483	0.5510095598
484	0.5507811985
485	0.550548288
486	0.5503727052
487	0.5502455889
488	0.5501788342
489	0.5500592588
490	0.5499766947
491	0.549846078
492	0.5497781119
493	0.5496441965
494	0.5494363613
495	0.5491462948
496	0.5489186682
497	0.5487980518
498	0.5486923343
499	0.5485968025
500	0.5484540375
501	0.5483151516
502	0.5482001998
503	0.5480736909
504	0.5479273324
505	0.5478055015
506	0.5475164547
507	0.5472660517
508	0.5470900529
509	0.5469884108
510	0.546827418
511	0.5467343478
512	0.5466589277
513	0.5464690939
514	0.5463372755
515	0.5462542363
516	0.5461464575
517	0.5460240493
518	0.5458853723
519	0.5457603033
520	0.545682585
521	0.5455576736
522	0.5452046554
523	0.544981348
524	0.5448933733
525	0.5447911885
526	0.5446677069
527	0.5445416253
528	0.5443858365
529	0.5442374679
530	0.544053763
531	0.5438995365
532	0.5437092101
533	0.5435262838
534	0.5433495236
535	0.5431182163
536	0.5430372201
537	0.5428878543
538	0.5427244776
539	0.5425734991
540	0.5422659157
541	0.5421448738
542	0.5419069236
543	0.5416308399
544	0.54144925
545	0.5413464288
546	0.5411972435
547	0.5411108315
548	0.5409053165
549	0.5408092599
550	0.5406474133
551	0.5405502163
552	0.54022202
553	0.5401184265
554	0.5399546816
555	0.5398627792
556	0.539678641
557	0.5394351534
558	0.5392366515
559	0.5391131533
560	0.5390029536
561	0.538859658
562	0.5386420782
563	0.5384764319
564	0.5381733416
565	0.5378643446
566	0.5377456807
567	0.5376398306
568	0.537546599
569	0.5373724322
570	0.5371719521
571	0.5370739326
572	0.5369776076
573	0.5367609089
574	0.5366369537
575	0.5365252455
576	0.5364211777
577	0.5362839535
578	0.536186643
579	0.5360752387
580	0.53595203
581	0.5357745999
582	0.5355965463
583	0.5355042828
584	0.535391681
585	0.5353501887
586	0.5351856641
587	0.5350039811
588	0.5348880171
589	0.5348170748
590	0.5345857964
591	0.5345213634
592	0.5344281699
593	0.5342917824
594	0.534083279
595	0.5338399498
596	0.5336895439
597	0.5334430288
598	0.5333397336
599	0.5332270019
600	0.5331048606
601	0.5327457946
602	0.5325635251
603	0.5324747746
604	0.5322372272
605	0.5321312387
606	0.5319467024
607	0.5318696882
608	0.5317298929
609	0.5315780446
610	0.531398361
611	0.5312489272
612	0.5310340091
613	0.5309147512
614	0.530825821
615	0.5306163753
616	0.5304881335
617	0.5304169563
618	0.5302700684
619	0.5301238136
620	0.5298922725
621	0.5296288839
622	0.5293963342
623	0.529300239
624	0.5292088287
625	0.5289447395
626	0.5286833781
627	0.5285594241
628	0.5284648064
629	0.5283771972
630	0.528277857
631	0.5281733309
632	0.528092387
633	0.5279202169
634	0.5278046524
635	0.5277278104
636	0.5275720431
637	0.527488353
638	0.5273495547
639	0.5272255726
640	0.5270823206
641	0.5268022118
642	0.5267087404
643	0.5265344102
644	0.5263720212
645	0.5261748477
646	0.5260678259
647	0.5259548532
648	0.5258560869
649	0.5257391287
650	0.5255778731
651	0.5254284936
652	0.5253181863
653	0.5252277263
654	0.5251137486
655	0.5249822759
656	0.5248495272
657	0.524811736
658	0.5247093698
659	0.5245894676
660	0.5244355765
661	0.5242662718
662	0.5241990082
663	0.524064711
664	0.5239154739
665	0.5237482217
666	0.5236054201
667	0.5235242348
668	0.5234660607
669	0.523304208
670	0.5231652338
671	0.5230587399
672	0.5229383388
673	0.5228476404
674	0.522790246
675	0.5226931159
676	0.5225200297
677	0.5223978908
678	0.5221565881
679	0.5220416941
680	0.5219270961
681	0.5216762542
682	0.5215907864
683	0.5215201518
684	0.5214456679
685	0.5212665429
686	0.5210218886
687	0.5209520123
688	0.5207351748
